,jp_id,jp_institution,jp_keywords,url,true_deadline,res,cbank,teach,posdoc,Notes
39,111461400,Murray State University,"Any field
Regional Economics
International Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461400,15/01/2019,,,,,
40,111461791,Naval Postgraduate School,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461791,15/01/2019,,,,,
38,111461903,Oakland University,"Health Economics
Public Policy
Financial Economics
Actuarial Exams passed",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461903,12/01/2019,,,,,
37,111461846,University of Melbourne,"Labour Economics
Economics of Education
Economics of Healthcare Financing and Organisation
Public Economics
Macroeconomics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461846,01/01/2019,1,,,,
36,111461730,Wesleyan College,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461730,21/12/2018,,,,,
35,111461737,Minerva Schools at KGI,"economic development, econometrics, economic theory, applied economics, global macroeconomics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461737,20/12/2018,,,,,
31,111461565,Central Bank of Chile,Research Department,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461565,15/12/2018,,,,,
32,111461738,Research Affiliates,"Finance
Investment Management",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461738,15/12/2018,,,,,
33,111461702,Southern Utah University,Lecturer of Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461702,15/12/2018,,,,,
34,111461755,Yale University,Department of Statistics and Data Science,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461755,15/12/2018,,,,,
30,111461910,Ball State University,Assistant Professor of Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461910,14/12/2018,1,,,,
29,111461766,University of Hawaii at Manoa,"Forecasting, Public finance, Labor, Health, Environmental, Regional, Data Science",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461766,13/12/2018,,,,,
27,111461904,StataCorp LP,"Econometrics
Stata
Statistical software
Communication",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461904,10/12/2018,,,,,
28,111461875,University of Chicago Harris School of Public Policy,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461875,10/12/2018,,,,,
26,111461838,QUT,"Economics
Finance
Industrial Organization
Banking
Asset Pricing
Corporate Finance",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461838,09/12/2018,,,,,
25,111461694,"Vocational Economics, Inc.","Labor Economics
Forensic Consulting
Expert Witness",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461694,08/12/2018,,,,,
23,111461781,Center for Global Development,"Economics
Public Policy
Development
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461781,07/12/2018,,,,,
24,111461735,Missouri Western State University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461735,07/12/2018,,,,,
21,111461736,Central Washington University,Applied Microeconomics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461736,05/12/2018,,,,,
22,111461751,Randolph College,"Microeconomics, Business, Marketing

",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461751,05/12/2018,,,,,
18,111461834,Mathematica Policy Research,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461834,03/12/2018,,,,,
19,111461842,Office of the Secretary of Defense,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461842,03/12/2018,,,,,
20,111461926,University of Luxembourg,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461926,03/12/2018,,,,,
17,111461814,University of Washington,"Assistant Professor
Public Policy & Governance
Public Policy
Data Science
Public Policy Data Science",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461814,02/12/2018,,,,,
13,111461741,Bloomsburg University of Pennsylvania,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461741,01/12/2018,,,,,
14,111461816,Cornell University,Inequality,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461816,01/12/2018,1,,,,
15,111461859,Federal Trade Commission,"D0	Applied Microeconomic Analysis
L0	Industrial Organization
C1	Econometric and Statistical Methods
D1	Household Behavior and Family Economics
D8	Information, Knowledge, and Uncertainty 
H0	Public Finance 
I1	Health Economics
J0 	Labor Economics 
K0	Law and Economics
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461859,01/12/2018,,,,,
16,111461920,University of Maine,"Macroeconomics
Applied Macroeconomics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461920,01/12/2018,1,,,,
12,111461862,Carnegie Mellon University,Assistant or Associate Professor level in Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461862,30/11/2018,1,,,,
11,111461844,University of Southern California,"Economics, Macroeconomics, Microeconomics, Applied Economics, Macro, Micro, Finance, USC, Business School, Trojans, Marshall, Marshall School, Marshall School of Business, Southern California, So Cal, SoCal, So Calif, Real Estate",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461844,26/11/2018,1,,,,
10,111461848,University of Ottawa,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461848,23/11/2018,1,,,,
9,111461701,Bates White Economic Consulting,"Machine Learning
Big data
Econometrics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461701,21/11/2018,,,,,
7,111461850,California Institute of Technology,"Experimental economics
Economic history",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461850,20/11/2018,,,,,
8,111461826,"NHH, Norwegian School of Economics",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461826,20/11/2018,1,,,,
6,111461790,University of Houston,"Macroeconomics
International Macroeconomics
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461790,12/11/2018,1,,,,
2,111461700,The Pennsylvania State University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461700,01/11/2018,1,,,,
3,111461716,"University of California, San Diego",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461716,01/11/2018,,,,,
4,111461719,"University of California, San Diego",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461719,01/11/2018,,,,,
5,111461717,"University of California, San Diego",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461717,01/11/2018,,,,,
1,111461718,"University of California, San Diego",NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461718,01/10/2018,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
