,jp_id,jp_institution,jp_keywords,url,true_deadline,real_deadline,apply?,res,teach,posdoc,Notes
19,111461566,Universidad<U+00A0>Carlos<U+00A0>III<U+00A0>de<U+00A0>Madrid,Finance,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461566,25/11/2018,,,,,,
20,111461723,"University of California, Berkeley","Business
Economic Analysis
Economic Policy
Economics
Microeconomics
Microeconomic Theory",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461723,29/11/2018,,,,,,
21,111461726,Arizona State University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461726,30/11/2018,,,,,,
22,111461625,The University of Virginia's College at Wise,Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461625,30/11/2018,,,,,,
23,111461577,University of Denver,"Heterodox Economics
General Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461577,30/11/2018,,,,,,
24,111461645,Bureau of Labor Statistics,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461645,01/12/2018,,,,,,
25,111461709,Ecole polytechnique f<U+00E9>d<U+00E9>rale de Lausanne (EPFL),Financial Data Science,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461709,01/12/2018,,,,,,
26,111461760,Mathematica Policy Research,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461760,01/12/2018,,,,,,
27,111461720,New York University Arts and Science,"Inter Alia Supervised and Unsupervised Learning, <U+201C>Big Data<U+201D>, Natural Language Processing, Computer Vision, Neural Networks, Non-Convex Optimization",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461720,01/12/2018,,,,,,
28,111461593,U.S. Treasury Department,Microeconomic Analysis,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461593,01/12/2018,,,,,,
29,111461572,"University at Buffalo, The State University at New York","Microeconomics
Microeconomist
Assistant Professor
Tenure-Track",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461572,01/12/2018,,,,,,
30,111461592,University of Florida,"Agribusiness 
Agricultural Economics
Development Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461592,01/12/2018,,,,,,
31,111461564,Durham University,Finance,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461564,05/12/2018,,,,,,
32,111461781,Center for Global Development,"Economics
Public Policy
Development
",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461781,07/12/2018,,,,,,
33,111461694,"Vocational Economics, Inc.","Labor Economics
Forensic Consulting
Expert Witness",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461694,08/12/2018,,,,,,
34,111461522,Jacksonville University,Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461522,15/12/2018,,,,,,
35,111461702,Southern Utah University,Lecturer of Economics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461702,15/12/2018,,,,,,
36,111461671,Vrije Universiteit Amsterdam,"Econometrics
Statistics
Data Science",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461671,15/12/2018,,,,,,
37,111461575,Baker & McKenzie LLP,"Economist
Analyst
Consulting",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461575,31/01/2019,,,,,,
38,111461586,Federal Reserve Bank of Chicago,Finance; Financial Markets,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461586,31/01/2019,,,,,,
39,111461588,Federal Reserve Bank of Chicago,Finance; Financial Institutions; Insurance,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461588,31/01/2019,,,,,,
40,111461663,Saint Josephs University,"Environmental Economics
Urban Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461663,31/01/2019,,,,,,
41,111461656,International Crisis Group and Empirical Studies of Conflict Project,"International Security, Conflict, Political Instability, Natural Resources",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461656,01/02/2019,,,,,,
42,111461692,International Crisis Group and Empirical Studies of Conflict Project,"International Security, Conflict, Political Instability, Natural Resources",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461692,01/02/2019,,,,,,
43,111461697,Ford Motor Company,"Applied Microeconomics
Quantitative Finance
Applied Econometrics
Automotive
Data Science",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461697,NA,,,,,,
44,111461570,Mathematica,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461570,NA,,,,,,
45,111461574,The University of Texas Rio Grande Valley,"Economics
Tenure Track
Assistant Professor
Business and Entrepreneurship",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461574,NA,,,,,,
46,111461665,U.S. Environmental Protection Agency,"Environmental Economics
Microeconomics and Econometric Modeling
Agricultural and Natural Resource Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461665,NA,,,,,,
47,111461614,U.S. Treasury Department,Macroeconomics,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461614,NA,,,,,,
48,111461613,University of Missouri-Kansas City,"Any Field, Microeconomics, Heterodox Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461613,NA,,,,,,
49,111461696,University of North Carolina Wilmington,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461696,NA,,,,,,
50,111461703,University of Pennsylvania,"Public Policy Economics
OLG Model
Macroeconomics
Microsimulation",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461703,NA,,,,,,
51,111461678,Virginia Tech,Behavioral Decision Science,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461678,NA,,,,,,
52,111461743,Virginia Wesleyan University,NA,https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461743,NA,,,,,,
53,111461749,Western Michigan University,"Health Economics
Public Policy
Environmental Economics",https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461749,NA,,,,,,
