"","Institution","Department","Position","Position type","Field","Posted","Deadline","conference1","conference2","conference3","email1","email2","email3","email4","link1","link2","link3","link4","link5","link6","link7","link8","fulltext_final"
"18","University of Toronto","Munk School of Global Affairs and Public Policy","Associate Professor, Applied Economics","Postdoctoral Scholar","Various fieldsDevelopment; Growth, International Trade, Labor; Demographic Economics, Macroeconomics; Monetary, Public Economics, Urban; Rural; Regional Economics, Health; Education; Welfare","31 Oct 2018","28 Feb 2019","https://www.aeaweb.org/conference/",NA,NA,"mailto:anne.sander@econ.uzh.ch",NA,NA,NA,"https://econjobmarket.org",NA,NA,NA,NA,NA,NA,NA,"MUNK SCHOOL OF GLOBAL AFFAIRS & PUBLIC POLICY UNIVERSITY OF TORONTOClosing Date: December 6th at 11:59 pm ESTThe Munk School of Global Affairs and Public Policy in the Faculty of Arts and Science at the University of Toronto invites applications for a full-time tenure-stream appointment in the area of Applied Economics. The appointment will be at the rank of Associate Professor, and will commence on July 1, 2019, or shortly thereafter. The appointment is contingent upon a successful tenure review. The successful candidate will also be eligible to be appointed as the newly established endowed Munk Chair in Economics.  Applicants must have earned a PhD in Economics or a related area, with a demonstrated exceptional record of excellence in research and teaching in any field of applied economics. We seek candidates whose research and teaching interests complement and strengthen our existing departmental strengths:https://munkschool.utoronto.ca/. Candidates will be expected to sustain and lead innovative and independent research at the highest international level and to maintain an outstanding, competitive, and externally funded research program. Candidates will have an established international reputation in research. Evidence of excellence in research will be demonstrated by sustained high-impact contributions and a publication record in top-ranked Economics and field-relevant academic journals, the submitted research statement, presentations at major conferences, prestigious awards and accolades from within the field, evidence of an extensive externally funded program of research, and other noteworthy activities that contribute to the visibility and prominence of the discipline, as well as strong endorsements from referees of high standing. Evidence of excellence in teaching will be demonstrated through teaching accomplishments (including PhD supervision), the teaching dossier submitted as part of the application including a strong teaching statement, sample course syllabi, and the teaching evaluations, as well as strong letters of reference. The successful candidate will teach in both our professional graduate programs: the Master of Global Affairs (MGA) and Master of Public Policy (MPP). She or he must be able to teach micro and macroeconomics to MGA and MPP students with a wide range of backgrounds and interests, as well as applied economics courses in either program. The successful candidate will enjoy working in an interdisciplinary School of global affairs and public policy and may apply for a non-budgetary cross-appointment with the Department of Economics. Salary will be commensurate with qualifications and experience.For more information about the Munk School of Global Affairs and Public Policy at the University of Toronto St. George campus, please visit our home page athttps://munkschool.utoronto.ca/. All qualified applicants are invited to apply online by clicking on the link below. Applicants must submit a cover letter, a current curriculum vitae, a research statement outlining current and future research interests, up to three working papers (of no more than 30 pages each), and a teaching dossier (including a statement of teaching philosophy, sample of course syllabi, and teaching evaluations). Please note that paper applications will not be accepted. In addition to the online submission, applicants must also arrange for at least three referees to e-mail letters (PDF format, signed, on letterhead) directly to Professor Randall Hansen, Interim Director, Munk School of Global Affairs and Public Policy at the University of Toronto, atmunkschool.director@utoronto.ca. Letters must be submitted by the closing date. Submission guidelines can be found athttp://uoft.me/how-to-apply. We recommend combining attached documents into one or two files in PDF/MS Word format. If you have questions about this position, please contactmunkschool.director@utoronto.ca. All application materials, including reference letters, must be received by December 6, 2018. The University of Toronto is strongly committed to diversity within its community and especially welcomes applications from racialized persons / persons of colour, women, Indigenous / Aboriginal People of North America, persons with disabilities, LGBTQ persons, and others who may contribute to the further diversification of ideas. As part of your application, you will be asked to complete a brief Diversity Survey. This survey is voluntary. Any information directly related to you is confidential and cannot be accessed by search committees or human resources staff. Results will be aggregated for institutional planning purposes. For more information, please seehttp://uoft.me/UP. All qualified candidates are encouraged to apply; however, Canadians and permanent residents will be given priority.All qualified candidates are invited to apply onlineTo apply, visit https://utoronto.taleo.net/careersection/10050/jobdetail.ftl?job=1804216&tz=GMT-04%3A00.(See posting for details.) Letters of reference required: 3 Location of job: 315 Bloor Street West, Toronto, ON, M5S 0A7, Canada"
"19","University of Groningen","Faculty of Economics and Business","Tenure Track Assistant Professors Economics, Econometrics & Finance (3.0 FTE)","Associate Professor","Economic History","31 Oct 2018","6 Dec 2018",NA,NA,NA,"mailto:munkschool.director@utoronto.ca","mailto:munkschool.director@utoronto.ca",NA,NA,"https://munkschool.utoronto.ca/","https://munkschool.utoronto.ca/","https://utoronto.taleo.net/careersection/10050/jobdetail.ftl?job=1804216&tz=GMT-04%3A00","https://utoronto.taleo.net/careersection/10050/jobdetail.ftl?job=1804216&tz=GMT-04%3A00",NA,NA,NA,NA,"OrganisationThe Department of Economics, Econometrics & Finance is an active and international research group, consisting of approximately 120 people. Department members work in theoretical as well as applied research. Central research themes are among other things (applied) econometrics, corporate finance, asset pricing, corporate governance, banking, health, ageing and pensions, microfinance, behavioural and experimental economics, economic history and industrial organization. Approximately 30 per cent of the department members are non-Dutch. More than 80 per cent of the PhD students are non-Dutch. Members of the department have recently published in a wide range of top journals, such as American Economic Review, Economic Journal, Journal of Business and Economics Statistics, International Economic Review, Journal of Financial Economics, Management Science, RAND Journal of Economics, Review of Economics and Statistics, Journal of Econometrics, and Review of Financial Studies.The department is responsible for two three-year bachelor programmes, namely the BSc Econometrics and Operations Research and the BSc Economics and Business Economics. In addition, the department is responsible for three one-year MSc programmes: the MSc Economics, the MSc Finance and the MSc International Financial Management. Moreover, it is involved in the MSc Econometrics, Operations Research and Actuarial Science. All these BSc and MSc programmes are fully taught in English. The department also participates in the selective honours programme for BSc students, as well as the challenging two-year research master programme, which is intended for students aiming at a PhD.Job descriptionCurrently, the department has a number of vacant tenure track positions: • tenure track positions in econometrics; candidates preferably specialize in financial econometrics and/or theoretical econometrics and • tenure track positions in finance; candidates preferably specialize in corporate finance, asset pricing and/or banking.Candidates have the ability to conduct high quality, original research in one of the areas of interest to the department and are expected to publish their work in high-ranked international journals. The department offers a dynamic academic environment with excellent research facilities.Time for research is allocated according to standardized faculty procedures, which guarantee 50 per cent of time for research during the tenure track period.With respect to teaching, candidates have excellent teaching skills, which are relevant for the (quantitative) courses offered by the department. They are expected to contribute to the courses in the BSc and MSc programmes offered by the department, including the supervision of bachelors and masters theses. Moreover, they may contribute to the two-year highly selective research master programme. Candidates are also expected to have management qualities, show leadership and are able to provide motivation and supervision.We will be interviewing during the ASSA meeting in Atlanta (4-6 January 2019) and the European Job Market of the EEA in Naples (6-7 December 2018). Moreover, we will conduct Skype interviews during the first two weeks of January 2018 for candidates not attending the job markets in Atlanta and Naples.QualificationsTo qualify candidates should have: • a PhD in Finance, Economics, Econometrics, or Quantitative Economics • expertise in the above mentioned fields demonstrated by the ability (or the potential) to publish in the top-tier international academic peer-reviewed journals • proven interest and ability in developing courses and teaching at the undergraduate and graduate level and in mentoring students • an international network • good interpersonal skills and should be a team player • organizational qualities and excellent communication skills; and • the potential to generate external funding for research projects.Tenure track positions at the Faculty of Economics and Business are temporary positions subject to a tenure decision after a period of six years. Formal tenure track requirements include criteria with respect to research prominence, teaching and external fund raising activities. During the tenure track period, 50 per cent of the position is reserved for research and 50 per cent is devoted to teaching activities. We refer the applicants to the criteria for the Tenure Track system (for a complete description see:https://www.rug.nl/(...)us/job-opprtunities/).Conditions of employmentThe University of Groningen offers a salary depending on qualifications and work experience starting from a minimum of € 3,545 gross per month (salary scale 11, Dutch Universities) to a maximum of € 5,513 gross per month (salary scale 12) for a full-time position as assistant professor, excluding 8% holiday allowance and 8.3% end-of-year bonus and participation in a pension scheme for employees. Favorable tax treatment may apply to non-Dutch applicants. The University of Groningen is an equal opportunities employer. Because women are still underrepresented in a number of fields, they are particularly encouraged to apply.The successful candidate will be appointed initially for a period of seven years, on the condition of a positive mid-term evaluation at the end of the third year of employment. The seventh year is intended to compensate for any ‘life events (e.g. prolonged illness or parental leave) which might take place during the first six years. Based on a positive final evaluation in the sixth year, tenure will be granted and you will become Associate Professor.The Tenure Track system is a career path which, if followed successfully, will lead to a full professorship.We expect candidates to start by August 2019Application You may apply for this position until 29 November 23:59 hrs. / before 30 November 2018 Dutch local time by means of the application form, see: https://www.rug.nl/about-us/work-with-us/job-opportunities/overview?reply=00347-02S0006MIPYou are requested to submit: 1. A motivation letter 2. A complete curriculum vitae 3. One self-selected best paper” and three letters of recommendation 4. Teaching evaluations (if available) and a short statement of your research accomplishments and future research goals; and 5. An indication of whether you will be available for interviewing at the ASSA meeting (Atlanta, 4-6 January 2019) and/or for interviewing at the European Job Market of the EEA (Naples, 6-7 December 2018), or prefer having an interview via Skype6. Letters of recommendation can be sent to Mrs. Ellie Jelsema by email: e.t.jelsema@rug.nl.Unsolicited marketing is not appreciated.To apply, visit https://www.rug.nl/about-us/work-with-us/job-opportunities/overview?reply=00347-02S0006MIP.(See posting for details.) Letters of reference required: 3 Location of job: Broerstraat 5, Groningen, 9700AB, NetherlandsThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"20","Central Bank of Chile","All departments","Research Economist/ Senior Economist","Assistant Professor","Various fieldsEconometrics, Finance, Business Economics","31 Oct 2018","30 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://www.rug.nl/feb/work-with-us/job-opprtunities/","https://www.rug.nl/about-us/work-with-us/job-opportunities/overview?reply=00347-02S0006MIP","https://www.rug.nl/about-us/work-with-us/job-opportunities/overview?reply=00347-02S0006MIP",NA,NA,NA,NA,NA,"The Economic Research Department at the Central Bank of Chile is seeking to fill one position for a Research Economist/Senior Economist depending on experience. Preferred areas of expertise include —but are not limited to— monetary economics, banking, macroeconometrics, international economics, and macroeconomics of labor markets. The jobs main responsibility is to engage in academic research for publication in academic journals. Other duties involve participating in applied-research projects conducted by the Bank, briefing the Board in topics of his/her expertise, and collaborating in the organization of international conferences and workshops. Excellent research skills are vital, as are good writing and speaking skills. Proficiency in Spanish is desirable but not required. Candidates must have a PhD in economics or finance or reasonably expect to complete all requirements for the degree by September 2019. Experienced applicants must have a record of publications in renowned academic journals.The Economic Research Department offers an outstanding research environment and competitive salary and benefits. The Department is composed by seven research economists/senior economists and six research assistants. Funding for traveling and a large flow of visitors ensure strong international exposure. The Bank currently employs more than 40 PhD graduates in its different departments.Prospective candidates should apply online via Econjobmarket at www.econjobmarket.orgMaterial for application of candidates includes a cover letter, CV, job-market paper or sample of recent research, and three reference letters for candidates graduated from PhD by 2014 or later. Deadline for application: December 15, 2018. The Bank is an equal opportunity employer. Short-list of candidates will be contacted to schedule an interview in the ASSA Meeting in Atlanta, GA on January 4-6, 2019. Candidates graduated from PhD before 2014 could be interviewed via telephone or Skype upon request. For questions or additional information please contact Juan Jose Riquelme, jriquelme@bcentral.cl."" Letters of reference required: 3 Location of job: Agustinas 1180, Santiago, Metropolitana, 8340454, ChileThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"21","INSEAD","Economics and Political Science","Postdoctoral Scholar, Stone Centre for the Study of Wealth Inequality","Other nonacademic","International Finance/Macro, Macroeconomics; Monetary","30 Oct 2018","15 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,"mailto:jriquelme@bcentral.cl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INSEAD's James M. and Cathleen D. Stone Centre for the Study of Wealth Inequality, in combination with the Economics and Political Science area, invites applications for a full-time one- or two-year Post-Doctoral Fellowship in the area of wealth and income inequality. The position is for the Fontainebleau, France campus.The candidate should have:· a PhD in Economics, or related discipline with relevant research relating to income and wealth inequality · an interest in collecting and working with data from a number of jurisdictions on wealth and income inequality· an interest both pursuing individual research as well as working with a team of researchers at the Centre on economics and public policy publications related to wealth and income inequality. We expect the Post-Doc to pursue independent high-quality research, work with senior colleagues as collaborators on an agenda of research relating to income and wealth inequality, and participate in seminars and conferences. One of the worlds leading business schools, INSEAD is strongly committed to research excellence. INSEAD has full research-oriented campuses in both France (Fontainebleau) and Singapore, which form an integrated academic community. INSEADs internationally diverse faculty and students are fully mobile across the two campuses.Candidates should submit the following materials:1. Curriculum Vitae2. At least three letters of reference3. Sample (s) of research papers.Applications should be received no later thanDecember31, 2018 via econjobmarket.org.For more information on the:· Economics and Political Science area (including a list of our faculty) please see our website at https://www.insead.edu/faculty-research/academic-areas/economics-political-science.· James M. and Cathleen D. Stone Centre for the Study of Wealth Inequality please see our website at https://www.insead.edu/centres/wealth-inequality. If you have any questions about our search, please email us at: cswi@insead.edu.INSEAD is committed to fostering a diverse and inclusive academic community. We consider applicants for employment without regard to factors such as gender, race, sexual orientation, disability, or nationality. Letters of reference required: 3 Location of job: INSEAD, Boulev, Fontainebleau, (No states listed), 77305, France"
"22","Bank of Lithuania","Economics and Financial Stability Service","Research Economist","Postdoctoral Scholar","Other","30 Oct 2018","31 Dec 2018",NA,NA,NA,"mailto:cswi@insead.edu",NA,NA,NA,"https://www.insead.edu/faculty-research/academic-areas/economics-political-science","https://www.insead.edu/centres/wealth-inequality",NA,NA,NA,NA,NA,NA,"The Bank of Lithuania (BoL) is seeking an economist for the Research Economist position in the Applied Macroeconomic Research Division of the Economics Department. The Division undertakes applied research in macro, labor, international economics and fiscal policy with the aim of contributing to the analytical and policy functions of the Economics Department. The primary aim is to conduct and publish high quality research and to facilitate decision making at the BoL on a variety of economic policy issues. The team is also responsible for building and developing macroeconomic models that are used in forecasting, scenario analysis and policy evaluation. Link to existing research: https://www.lb.lt/en/research-research-and-publicationsStructural unit: Applied Macroeconomic Research Division, Economics Department, Economics and Financial Stability ServiceDuties and Responsibilities:Undertake applied research to contribute to the policy-related work of the Economics Department and conduct economic research for publication in the BoL Working Paper Series and leading academic journalsSupport the Economics Department as well as other divisions of the BoL in developing models for economic and monetary policy analysis Participate in international economic research projects and working groups within the European System of Central BanksWorkload in this position would be allocated to policy questions (about 20%), modelling and directed research (40%), and conducting own research (40%) on topics relevant for the central banking community (with precedence given to issues related to the Lithuanian economy).Skills and SpecificationsPhD in Economics, Econometrics or Finance (final year Ph.D. candidates will also be considered)Specialization in areas most relevant for central banks such as macroeconomics, labor, fiscal or international economics Experience in empirical research, in particular ability to build and calibrate/estimate macro models, or in microeconomic/microeconometric analysis (firm, individual, household, etc.) is considered an advantageProgramming ability in R/Matlab/Dynare or equivalentStrong interpersonal and communication skillsFluency in written and spoken EnglishPlease submit the following documents by November 30th, 2018 via the online system:CV Two relevant research samplesTwo recommendation lettersIn case of questions please contact Ms. Ingrida Simkute (ISimkute@lb.lt).We will be present at the European Job Market meeting in Naples and Spanish Economic Association Job Market meeting in Madrid. Letters of reference required: 2 Location of job: Totoriu st. 4, Vilnius, LT-01121, LithuaniaThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Simposio de la Asociación Española de Economía, Madrid, Spain, 1315 Dec 2018"
"23","New York University Abu Dhabi","Economics","Empirical Public Policy Economics Professor Ã¢Â€Â“ Tenure Track","Other academic","Various fieldsEconometrics, International Trade, Labor; Demographic Economics, Macroeconomics; Monetary","30 Oct 2018","30 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,"mailto:ISimkute@lb.lt",NA,NA,NA,"https://www.lb.lt/en/research-research-and-publications","https://www.eeassoc.org/index.php?site=&page=288&trsz=287",NA,NA,NA,NA,NA,NA,"Empirical Public Policy Economics Professor  Tenure TrackThe Social Science Division at New York University Abu Dhabi (NYUAD) invites applications for tenure track assistant professor positions in environmental, health, labor, public, and urban economics. Scholars with a strong interest in policy implications are especially encouraged to apply. Successful candidates are expected to publish in high quality internationally refereed journals. Candidates should have completed a PhD or plan to graduate by June 2019.The terms of employment are competitive and include generous start-up and on-going research funds, as well as housing subsidies and educational subsidies for children. The position features a standard teaching load of three courses per year. Faculty may also spend an occasional semester at NYU New York and other global network sites, engaging in research and teaching activities.The deadline for applicants who are available for interviews at the EEA meetings in Naples is November 15, 2018. The deadline for applicants who are available for interviews at the ASSA meeting in Atlanta, Georgia, is December 1, 2018. The review of applications will begin immediately and will continue until the positions are filled. Shortlisted candidates will be invited for campus visits to NYU Abu Dhabi starting in January 2019. We anticipate that successful candidates can start employment by August 15, 2019, subject to final budget approval.To ensure full consideration by the search committee, applicants must submit their curriculum vitae and statements of research and teaching interests, and a job market paper. To complete the online process, applicants will be prompted to enter the names and email addresses of at least three referees. Each referee will be contacted to upload his or her reference letter. Please visit http://apply.interfolio.com/54058 to apply. If you have any questions, please email nyuad.socialscience@nyu.edu.You may find further information about the economists in the Social Science Division here:https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywordsAbout NYUADNew York University has established itself as a Global Network University. The network has three foundational degree-granting campuses: New York, Abu Dhabi, and Shanghai, complemented by a network of eleven research and study-away sites across five continents. Our students are drawn from around the world and surpass all traditional recruitment benchmarks, both US and global. Our goal is to develop a cohort of international students attuned to and educated for an inclusive global society. Students and faculty circulate within the global network in pursuit of common research interests and the promotion of cross-cultural and interdisciplinary solutions for problems, both local and global.EOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity EmployerTo apply, visit http://apply.interfolio.com/54058.(See posting for details.) Letters of reference required: 3 Location of job: Saadiyat Marina District, Abu Dhabi, United Arab EmiratesThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"24","New York University Abu Dhabi","Economics","Economics Professor - Open Field - Tenure Track","Assistant Professor","Any field","30 Oct 2018","29 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:nyuad.socialscience@nyu.edu",NA,NA,NA,"https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywords",NA,NA,NA,NA,NA,NA,NA,"Economics Professor - Open Field - Tenure TrackThe Social Science Division at New York University Abu Dhabi (NYUAD) invites applications for tenure track assistant professor positions in all economics fields. Candidates whose primary field is either behavioral, experimental, development, environmental, health, labor, public, and urban economics should apply to one of our specialized ads. Successful candidates are expected to publish in high quality internationally refereed journals. Candidates should have completed a PhD or plan to graduate by June 2019.The terms of employment are competitive and include generous start-up and on-going research funds, as well as housing subsidies and educational subsidies for children. The position features a standard teaching load of three courses per year. Faculty may also spend an occasional semester at NYU New York and other global network sites, engaging in research and teaching activities. The deadline for applicants who are available for interviews at the EEA meetings in Naples is November 15, 2018. The deadline for applicants who are available for interviews at the ASSA meeting in Atlanta, Georgia, is December 1, 2018. The review of applications will begin immediately and will continue until the positions are filled. Shortlisted candidates will be invited for campus visits to NYU Abu Dhabi starting in January 2019. We anticipate that successful candidates can start employment by August 15, 2019, subject to final budget approval.To ensure full consideration by the search committee, applicants must submit their curriculum vitae and statements of research and teaching interests, and a job market paper. To complete the online process, applicants will be prompted to enter the names and email addresses of at least three referees. Each referee will be contacted to upload his or her reference letter. Please visit https://apply.interfolio.com/54063 to apply. If you have any questions, please email nyuad.socialscience@nyu.edu.You may find further information about the economists in the Social Science Division here:https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywordsAbout NYUADNew York University has established itself as a Global Network University. The network has three foundational degree-granting campuses: New York, Abu Dhabi, and Shanghai, complemented by a network of eleven research and study-away sites across five continents. Our students are drawn from around the world and surpass all traditional recruitment benchmarks, both US and global. Our goal is to develop a cohort of international students attuned to and educated for an inclusive global society. Students and faculty circulate within the global network in pursuit of common research interests and the promotion of cross-cultural and interdisciplinary solutions for problems, both local and global.For more information about careers at NYU Abu Dhabi please visit https://nyuad.nyu.edu/en/about/careers.html. EOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity EmployerTo apply, visit https://apply.interfolio.com/54063.(See posting for details.) Letters of reference required: 3 Location of job: Saadiyat Marina District, Abu Dhabi, United Arab EmiratesThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"25","New York University Abu Dhabi","Economics","Economic Development Professor Ã¢Â€Â“ Tenure Track","Assistant Professor","Any field","30 Oct 2018","29 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:nyuad.socialscience@nyu.edu",NA,NA,NA,"https://nyuad.nyu.edu/en/academics/divisions/social-science.html","https://apply.interfolio.com/54046","https://apply.interfolio.com/54046","https://apply.interfolio.com/54048","https://apply.interfolio.com/54063","https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywords","https://nyuad.nyu.edu/en/about/careers.html","https://apply.interfolio.com/54063","Economic Development Professor  Tenure TrackThe Social Science Division at New York University Abu Dhabi (NYUAD) invites applications for tenure track assistant professor positions in economic development. Scholars with a strong interest in policy implications are especially encouraged to apply. Successful candidates are expected to publish in high quality internationally refereed journals. Candidates should have completed a PhD or plan to graduate by June 2019.The terms of employment are competitive and include generous start-up and on-going research funds, as well as housing subsidies and educational subsidies for children. The position features a standard teaching load of three courses per year. Faculty may also spend an occasional semester at NYU New York and other global network sites, engaging in research and teaching activities. The deadline for applicants who are available for interviews at the EEA meetings in Naples is November 15, 2018. The deadline for applicants who are available for interviews at the ASSA meeting in Atlanta, Georgia, is December 1, 2018. The review of applications will begin immediately and will continue until the positions are filled. Shortlisted candidates will be invited for campus visits to NYU Abu Dhabi starting in January 2019. We anticipate that successful candidates can start employment by August 15, 2019, subject to final budget approval.To ensure full consideration by the search committee, applicants must submit their curriculum vitae and statements of research and teaching interests, and a job market paper. To complete the online process, applicants will be prompted to enter the names and email addresses of at least three referees. Each referee will be contacted to upload his or her reference letter. Please visit https://apply.interfolio.com/54048 to apply. If you have any questions, please email nyuad.socialscience@nyu.edu.You may find further information about the economists in the Social Science Division here:https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywordsFor more information about careers at NYU Abu Dhabi please visit https://nyuad.nyu.edu/en/about/careers.html.EOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity EmployerTo apply, visit https://apply.interfolio.com/54048.(See posting for details.) Letters of reference required: 3 Location of job: Saadiyat Marina District, Abu Dhabi, United Arab EmiratesThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"26","New York University Abu Dhabi","Economics","Behavioral Economics Professor Ã¢Â€Â“ Tenure Track","Assistant Professor","Any field","30 Oct 2018","29 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:nyuad.socialscience@nyu.edu",NA,NA,NA,"https://nyuad.nyu.edu/en/academics/divisions/social-science.html","https://apply.interfolio.com/54048","https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywords","https://nyuad.nyu.edu/en/about/careers.html","https://apply.interfolio.com/54048",NA,NA,NA,"Behavioral Economics Professor  Tenure TrackThe Division of Social Science at New York University Abu Dhabi (NYUAD) invites applications for tenure track assistant professor positions in behavioral economics. We are searching for outstanding candidates working in behavioral economics using theory, controlled experiments, or econometrics. The ideal candidate will have demonstrated command of at least two of the aforementioned methods of investigation. Successful candidates are expected to publish in high quality internationally refereed journals. Candidates should have completed a PhD or plan to graduate by June 2019.The terms of employment are competitive and include generous start-up and on-going research funds, as well as housing subsidies and educational subsidies for children. The position features a standard teaching load of three courses per year. Faculty may also spend an occasional semester at NYU New York and other global network sites, engaging in research and teaching activities.The deadline for applicants who are available for interviews at the EEA meetings in Naples, Italy, is November 15, 2018. The deadline for applicants who are available for interviews at the ASSA meetings in Atlanta, Georgia, is December 1, 2018. The review of applications will begin immediately and will continue until the positions are filled. Shortlisted candidates will be invited for campus visits to NYU Abu Dhabi starting in January 2019. We anticipate that successful candidates can start employment by August 15, 2019, subject to final budgetary approval.To ensure full consideration by the search committee, applicants must submit their curriculum vitae and statements of research and teaching interests, and a job market paper. To complete the online process, applicants will be prompted to enter the names and email addresses of at least three referees. Each referee will be contacted to upload his or her reference letter. Please visit https://apply.interfolio.com/54046 to apply. If you have any questions, please email nyuad.socialscience@nyu.edu.You may find further information about the economists in the Social Science Division here:https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywordsAbout NYUADNew York University has established itself as a Global Network University. The network has three foundational degree-granting campuses: New York, Abu Dhabi, and Shanghai, complemented by a network of eleven research and study-away sites across five continents. Our students are drawn from around the world and surpass all traditional recruitment benchmarks, both US and global. Our goal is to develop a cohort of international students attuned to and educated for an inclusive global society. Students and faculty circulate within the global network in pursuit of common research interests and the promotion of cross-cultural and interdisciplinary solutions for problems, both local and global.For more information please visit https://nyuad.nyu.edu/en/about/careers.html.EOE/AA/Minorities/Females/Vet/Disabled/Sexual Orientation/Gender Identity EmployerTo apply, visit https://apply.interfolio.com/54046.(See posting for details.) Letters of reference required: 3 Location of job: Saadiyat Marina District, Abu Dhabi, United Arab EmiratesThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"27","University of Sussex","Department of Economics","Lecturer in Economics (Ref 0270)","Assistant Professor","Any field","30 Oct 2018","29 Nov 2018","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:nyuad.socialscience@nyu.edu",NA,NA,NA,"https://apply.interfolio.com/54046","https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty.html?_charset_=UTF-8&program=economics-major&affiliation=NYU+Abu+Dhabi&keywords","https://nyuad.nyu.edu/en/about/careers.html","https://apply.interfolio.com/54046",NA,NA,NA,NA,"The University of Sussex is seeking to make at least one appointment at the permanent Lectureship level in the Department of Economics.Over the past five years the Department has expanded as aresult ofa strategic programme of recruitment aimed at intensifying the quality and depth of our established strengths.Candidates should demonstrate potential to conduct leading edge research in economics.They should have a doctorate, or equivalent, in economics. In addition to being highly research active, the successful candidates will be able to teach and assess both undergraduate and graduate students, supervise doctoral students, and contribute to departmental and university administration.We are seeking expertise across all areas of Economics and Econometrics, although applications in Economic Theory and/or Experimental Economics are particularly welcome.Applicants should apply online athttps://econjobmarket.org/.Please submit a covering letter, your curriculum vitae and your research papers and please also arrange for three letters of reference to be submitted via EconJobMarket.org.We will be attending the European Job Market in Naples on6-7 December 2018and the Royal Economics Society (RES) Ph.D meetings in London on the18-19 December 2018.For applicants that would like to be considered for an informal meeting at either conference, please upload your job market packet oneconjobmarket.orgby26 November for the EEA Job market, andby 7 December for the RES PhD meetings.Informal inquiries may be addressed to Professor Paola Manzini (e-mail: business-econhod@sussex.ac.uk) in the Department of Economics. For more details on the Department of Economics seehttp://www.sussex.ac.uk/economics/.The University of Sussex values the diversity of its staff and students and we welcome applicants from all backgrounds.Flyouts are expected to take place between 14 January and 11 February 2019The job description and further particulars can be downloaded here Letters of reference required: 3 Location of job: University of Sussex, Brighton, Sussex, BN1 9SL, United KingdomThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 RES Postgraduate Meeting, London, UK, 1819 Dec 2018"
