"","X.1","X","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline","domestic","country","iso3","otherdate","url","InquiryEmail","otherdate_noyear","otherdate_day","otherdate_month","otherdate_asDate_ready","deadline_other","true_deadline","ft","myfields","positionsToKeep","new_listing"
"11",14,20,"2018-02",111461816,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Cornell University","Arts and Sciences","Economics","Inequality","Assistant Professor of Economics","The Center for the Study of Inequality (CSI) at Cornell, in collaboration with the Departments of Economics, Government, and Sociology, welcomes applications for two full-time, tenure track positions at the rank of assistant professor. Positions will begin July 1, 2019. Successful candidates will be appointed in one of the three disciplinary departments, which will serve as their tenure home, but also participate in and contribute to the rich intellectual life and vibrant multidisciplinary community of inequality scholars affiliated with CSI. We seek scholars who have demonstrated excellence in research and teaching. Candidates in Government will be considered from any subfield of political science, with a thematic focus on class, racial, ethnic, or international inequalities, or other inequalities in democratic citizenship and representation. Candidates in Sociology may focus on any area of inequality, broadly defined, and use any method in their work; we especially encourage applications from scholars who combine inequality with a cognate subfield (e.g., computational sociology, political sociology, race and ethnicity, theory). Candidates in Economics may focus on any area of inequality. All candidates are required to have earned a PhD by July 1, 2019.

Interested candidates should submit a letter of application, curriculum vitae, up to three writing samples, three letters of recommendation, and teaching evaluations and materials if they are available. Candidates in economics can submit academic references instead of letters of recommendation if letters are not available. We will begin to review applications starting October 21st and continue until the search is complete. We embrace diversity and seek candidates who will create a climate that attracts students and faculty of all races, nationalities and genders. We strongly encourage women and underrepresented minorities to apply. Cornell University is a recognized EEO/AA employer and educator, valuing AA/EEO, Protected Veterans, and Individuals with Disabilities.

Diversity and Inclusion are a part of Cornell University<U+2019>s heritage. The College of Arts and Sciences at Cornell embrace diversity and seek candidates who will create a climate that attracts students and faculty of all races, nationalities, and genders. We strongly encourage women and underrepresented minorities to apply. Cornell University is a recognized EEO/AA employer and educator, valuing AA/EEO, Protected Veterans, and Individuals with Disabilities.",NA,NA,NA,"UNITED STATES New York Ithaca","J - Labor and Demographic Economics
H - Public Economics
I - Health, Education, and Welfare
R - Urban, Rural, Regional, Real Estate, and Transportation Economics
O - Economic Development, Innovation, Technological Change, and Growth","2018-12-01",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461816","",NA,NA,NA,NA,NA,"2018-12-01",TRUE,TRUE,TRUE,TRUE
"12",15,29,"2018-02",111461859,"Full-Time Nonacademic","Federal Trade Commission","Bureau of Economics","Washington, DC","D0	Applied Microeconomic Analysis
L0	Industrial Organization
C1	Econometric and Statistical Methods
D1	Household Behavior and Family Economics
D8	Information, Knowledge, and Uncertainty 
H0	Public Finance 
I1	Health Economics
J0 	Labor Economics 
K0	Law and Economics
","Economist","Key Words: Applied Microeconomics, Industrial Organization (IO), Econometrics, Health Economics, Behavioral Economics, Labor Economics, Law and Economics, Experimental Economics
	
	The FTC<U+2019>s Bureau of Economics anticipates openings for junior and senior economists in 2019.  Our staff of approximately 80 PhD economists analyze antitrust and/or consumer protection issues and make policy recommendations to the Commission.  
The Bureau of Economics maintains a working paper series, a seminar series, and an annual microeconomics conference. The Bureau<U+2019>s economists regularly present their independent research at seminars and conferences, and publish in top journals.  Economists in all fields of applied microeconomics or econometrics who write and communicate effectively and have a strong comprehension of microeconomic analysis are encouraged to apply. Visit <U+201C>FTC Careers in BE<U+201D> for further information.   

	Applicants may discuss opportunities at the FTC at the AEA meetings in Atlanta or at FTC offices in Washington DC.  Apply by submitting a resume, writing sample (preferably sole-authored), and copy of your graduate transcript online at www.usajobs.gov by searching for BE-2019-0002.  Separately, arrange for three letters of recommendation to be e-mailed to econrecruit@ftc.gov.  All candidates should apply to at least the GS-12 level; experienced candidates should apply to higher GS levels as well.  You must initially submit your resume and transcripts to determine minimum qualifications.  Applicants determined to be minimally qualified will be required to provide a writing sample and letters of recommendation during the evaluation process. U.S. citizenship is required. Applicants wishing to discuss opportunities with FTC staff at the AEA meetings are encouraged to apply by December 1, 2018.  For questions, contact Neal Reed at 202-326-3427 or nreed@ftc.gov.  The FTC is an equal opportunity employer. 
","(USD) $81,548 - $164,200",NA,NA,"UNITED STATES District of Columbia Washington, DC","D0 - General
L0 - General
C1 - Econometric and Statistical Methods and Methodology:  General
D1 - Household Behavior and Family Economics
D8 - Information, Knowledge, and Uncertainty
H0 - General
I1 - Health
J0 - General
K0 - General","2019-01-11",TRUE,"UNITED STATES","USA","December 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461859","econrecruit@ftc.gov","December 1",1,12,"2018-12-1","2018-12-01","2018-12-01",TRUE,TRUE,TRUE,TRUE
"13",16,120,"2018-02",111461920,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Maine",NA,"School of Economics","Macroeconomics
Applied Macroeconomics","Assistant Professor of Macroeconomics","The School of Economics at the University of Maine invites applications for a tenure-track position at the level of Assistant Professor in the area of Applied / Empirical Macroeconomics.  We seek candidates with potential for high-quality scholarship, a commitment to excellent teaching, and a willingness to provide service to the university and profession. The position<U+2019>s initial appointment split is 80 percent teaching and 20 percent research, with a one-course teaching reduction for the first two years. Future appointment splits will be determined using the School of Economics<U+2019> workload formula.

Responsibilities and Duties: Responsibilities include conducting and disseminating original research related to macroeconomics, teaching graduate and undergraduate courses (e.g., macroeconomics, econometrics, modeling, money and banking), and advising and mentoring students.

Qualifications-Required: Ph.D. in economics or a closely related field; excellent communication skills; and a commitment to professional development, collegiality, public service and high-quality teaching.

Qualifications-Preferred: Established record or potential for publishing in high quality journals; and teaching undergraduate and graduate economics courses (e.g., macroeconomics, econometrics, modeling, money and banking).

How to Apply: Submit a full CV, up to three reprints, list of references, copies of academic transcripts and a cover letter that highlights the applicant<U+2019>s capacity to perform the position responsibilities. All application materials must be submitted via HireTouch (https://umaine.hiretouch.com/job-details?jobID=51894&job=assistant-professor-of-macroeconomics) <U+201C>Apply For Position.<U+201D> Applicants will need to create a profile and application.

Review of applications will begin on December 1, 2018, and will continue until the position is filled. Applicants are encouraged to submit their materials as soon as possible for full consideration. The expected start date is September 1, 2019.

For more information about the position, see: (https://umaine.hiretouch.com/job-details?jobID=51894&job=assistant-professor-of-macroeconomics). Inquiries or questions about this job announcement can be forwarded to Todd Gabe, who is serving as the chairperson of this search committee, (todd.gabe@maine.edu).

The University of Maine is an EEO/AA employer.  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, age, disability, protected veteran status, or any other characteristic protected by law.",NA,NA,NA,"UNITED STATES Maine Orono","E - Macroeconomics and Monetary Economics
E7 - Macro-Based Behavioral Economics
E6 - Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook
C5 - Econometric Modeling",NA,TRUE,"UNITED STATES","USA","December 1, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461920","todd.gabe@maine.edu","December 1",1,12,"2018-12-1","2018-12-01","2018-12-01",TRUE,TRUE,TRUE,TRUE
"14",17,135,"2018-02",111461814,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Washington",NA,"Evans School of Public Policy & Governance","Assistant Professor
Public Policy & Governance
Public Policy
Data Science
Public Policy Data Science","Assistant Professor of Public Policy & Governance","Assistant Professor of Public Policy & Governance in the field of Public Policy Data Science. The Evans School of Public Policy & Governance, at the University of Washington, invites applications for a tenure-track faculty position at the rank of Assistant Professor, beginning in Fall 2019 (100% FTE, 9-month appointment). The Assistant Professor will be expected to use data science to improve public policy and public management. The successful candidate will be expected to use data analytics to address the design, implementation, and measurement challenges in public policy, e.g., environment and natural resource use, transportation, housing, health, education or development more generally. Relevant applications include the acquisition, curation, merging, management, analysis (e.g. machine learning and other approaches), visualization and sharing of big and complex data, to improve the design, delivery, and evaluation of public programs. The Assistant Professor will be expected to consider the equity, bias, and ethical implications of using predictive analytics and algorithms in public management. Successful applicants should be prepared to teach in the core of our undergraduate, MPA, and/or PhD programs. All UW faculty engage in teaching, research and service. For additional information and to apply: https://apply.interfolio.com/57334. Applications received by December 2, 2018 will receive full consideration.",NA,NA,NA,"UNITED STATES Washington Seattle","00 - Default: Any Field",NA,TRUE,"UNITED STATES","USA","December 2, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461814","","December 2",2,12,"2018-12-2","2018-12-02","2018-12-02",TRUE,TRUE,TRUE,TRUE
"15",18,51,"2018-02",111461834,"Full-Time Nonacademic","Mathematica Policy Research","Human Services",NA,NA,"Human Services Researcher","Mathematica Policy Research is seeking researchers for our Human Services Division. Mathematica is a nationally-recognized nonpartisan policy research organization that conducts policy analysis, program evaluation, data collection, and data analytics, and provides technical assistance to help programs build and use evidence effectively. We improve public well-being by bringing the highest standards of quality, objectivity, and excellence to bear on the work we do for federal, state, and local government agencies, as well as private foundations. The following projects illustrate the type of work we currently have under way.

       <U+2022> Using behavioral science to design and evaluate program improvements
       <U+2022> Estimating the prevalence of identity theft in the SNAP (food stamp) program
       <U+2022> Using predictive analytics to better understand the characteristics of children and families who use child welfare and Medicaid services
       <U+2022> Evaluating programs that provide coaching for hard-to-employ low-income populations
       <U+2022> Examining the impacts of charter schools on students' achievement
       <U+2022> Providing TANF agencies evidence-based technical assistance on improving their services
       <U+2022> Providing school districts with assistance on developing approaches to strengthen the professional development of teachers and principals

Mathematica is seeking researchers for our Human Services division to conduct studies and technical assistance projects in education, family support, child welfare, child development, labor, criminal justice, and related topics analyses. Duties may include:

      <U+2022>	Designing rigorous methods for evaluating programs and policies, conduct analyses, review and synthesize existing evidence, draft briefs and reports
      <U+2022>	Helping program administrators and policymakers make decisions by cleaning, organizing, analyzing, and presenting large amounts of data 
      <U+2022>	Guiding programs and policymakers in using evidence to make decisions
      <U+2022>	Providing assistance to programs and other organizations on conducting evaluations
      <U+2022>	Presenting findings to policy, practitioner, and researcher audiences 

You would join our multidisciplinary staff of over 300 doctoral-level researchers. We offer our employees a team-oriented mission-driven work environment, competitive salaries, a comprehensive benefits package, and employee ownership. We strongly encourage applications by researchers of all racial, ethnic, and cultural groups.

Qualifications: 
      <U+2022>	Ph.D. or equivalent in economics, statistics, public policy, or a related field
      <U+2022>	Strong quantitative analytical skills
      <U+2022>	Excellent written and oral communication skills, including an ability to translate complex research methods and findings for a practitioner and policy audience
      <U+2022>	Ability to work well in teams 

Mathematica, a nationally recognized, nonpartisan research organization, has offices in Princeton, NJ, Washington, DC, Cambridge, MA, Ann Arbor, MI, Oakland, CA, Seattle, WA and Chicago, IL. Mathematica offers competitive salary and benefits packages(http://www.mathematica-mpr.com/career-opportunities/benefits-at-a-glance). For additional information, please visit our website: www.mathematica-mpr.com.
To Apply For a Researcher Position

A cover letter, CV, and writing sample or job market paper must be submitted at the time of application via our online application system. 

https://careers.mathematica-mpr.com/job/washington/human-services-researcher/727/9313790

Mathematica is an equal opportunity/affirmative action employer. We consider applicants for all positions without regard to race; color; religion; sex; national origin; age; sexual orientation; gender identity or expression; marital; family; or veteran status; the presence of a non-job-related medical condition or disability; or any other legally protected status. In keeping with our commitment, we strongly encourage women, minorities, veterans, and people with disabilities to apply.",NA,NA,NA,"UNITED STATES California Oakland
UNITED STATES District of Columbia
UNITED STATES Illinois Chicago
UNITED STATES Massachusetts Cambridge
UNITED STATES New Jersey Princeton","I - Health, Education, and Welfare
J - Labor and Demographic Economics
C - Mathematical and Quantitative Methods","2018-12-03",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461834","",NA,NA,NA,NA,NA,"2018-12-03",TRUE,TRUE,TRUE,TRUE
"16",19,67,"2018-02",111461842,"Full-Time Nonacademic","Office of the Secretary of Defense",NA,"Cost Assessment and Program Evaluation",NA,"Economist","The Cost Assessment and Program Evaluation Directorate, within the Office of the Secretary of Defense, conducts analyses for the Secretary and Deputy Secretary of Defense on resource and economic issues affecting defense programs, plans, and budgets.  We seek candidates who have completed or are nearing completion of a Ph.D. in economics for analyst positions.  Duties include data and policy analysis with applications to health, labor, resource, and fiscal economics within the U.S. Department of Defense.

Our analysts enjoy: challenging work; superior total compensation packages; an exceptional work environment; travel, training, and development opportunities; a multitude of on-site amenities; and opportunities to present at academic conferences.

Applicants must be U.S. citizens and meet eligibility requirements for access to classified information. An equal opportunity employer. 
",NA,NA,NA,"UNITED STATES District of Columbia Washington","C - Mathematical and Quantitative Methods
D - Microeconomics
H - Public Economics
H5 - National Government Expenditures and Related Policies
I1 - Health
J - Labor and Demographic Economics
J3 - Wages, Compensation, and Labor Costs","2018-12-03",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461842","",NA,NA,NA,NA,NA,"2018-12-03",TRUE,TRUE,TRUE,TRUE
"17",20,119,"2018-02",111461926,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Luxembourg","The Faculty of Law, Economics, and Finance (FDEF)",NA,NA,"Assistant Professor (M/F) in Finance","The Faculty of Law, Economics, and Finance (FDEF) of the University of Luxembourg has an opening for an Assistant Professor (M/F) in Finance with a focus on Financial Institutions, or related fields in particular empirical finance. 

<U+2022>	Ref: F2-Financial Institutions (to be mentioned in all correspondence)
<U+2022>	Full-time position (40 hs/week)
<U+2022>	Earliest starting date: September 2019

The position at the Assistant Professor level follows Luxembourg<U+2019>s tenure-track scheme according to which the initial appointment is a fixed-term contract. Upon successful evaluation of the projects, the candidate can be offered a permanent position. The position is initially for 5 years and upon a positive evaluation, the assistant professor may be promoted to associate professor. 

Your Role
The Professor shall play an active role in establishing the LSF as a leading European finance group; the package we offer is commensurate with this ambition. In particular, shall be engaged in research, teaching, and administrative duties. The candidates shall teach in the newly created common first year of the master programs. In addition, the candidate shall teach in the risk management track of the Master of Banking and Finance.

Information about the position can be obtained from Professor Ulf von Lilienfeld-Toal (e-mail: Ulf.Lilienfeld@uni.lu). http://recruitment.uni.lu/en 

Your Profile
The candidate shall show have or show potential for highest quality research and publications in the top finance and/or economics journals. Additional requirements include a PhD in Finance or Economics or related disciplines.

The University of Luxembourg is set in a multilingual context. The person hired on this position must be proficient in English and in one of the two official languages of Luxembourg: French or German. The University encourages its staff to learn the other official language and provides access to language courses to this end.

We Offer
<U+2022>	An international team at a young, dynamic university
<U+2022>	An interdisciplinary research environment
<U+2022>	A wide network of academic, institutional and corporate partners
<U+2022>	Skilled support staff and team-oriented work environment
<U+2022>	Offices located in Luxembourg City<U+2019>s main business district 
<U+2022>	Competitive salary and benefits

Further Information
Applications should contain a motivation letter and a detailed CV, a job market paper and letters of recommendation. The LSF will be attending the ASSA meetings in Atlanta.

All applications should be sent by e-mail before 3/12/2018 to the following address: 
E-mail : fdef-recrutement@uni.lu 

All applications will be handled in strict confidence. 
The University of Luxembourg is an equal opportunity employer.",NA,"PO1811066",NA,"LUXEMBOURG L-1855","G - Financial Economics","2018-12-03",FALSE,"LUXEMBOURG","LUX","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461926","ilienfeld@uni.lu",NA,NA,NA,NA,NA,"2018-12-03",TRUE,TRUE,TRUE,TRUE
"18",21,18,"2018-02",111461736,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Central Washington University","College of Business","Economics","Applied Microeconomics","Assistant Professor","The Department of Economics within the College of Business at Central Washington University seeks applicants for a <U+201C>pending<U+201D> tenure-track, assistant professor position beginning September 2019.  The department has 6 full-time faculty members and offers an attractive teaching load with small classes, a relaxed teaching environment, and research support. The College of Business has a strong teaching orientation and requires a commitment to students through teaching and advising. The Central Washington University campus is located in Ellensburg, WA, a small community 110 miles from Seattle.

In addition to teaching courses in Principles of Microeconomics/Macroeconomics, the candidate will teach courses in Econometrics, Intermediate Microeconomics, and Labor Economics.  Depending on the needs of our department, the candidate will also teach courses such as Public Finance, Intermediate Macroeconomic Theory, and quantitative methods courses. 

Members of the faculty are expected to produce published research, advise students, and provide service to the university. The candidate should have a Ph.D. in Economics from an AACSB accredited institution, although candidates with ABDs near completion will be considered.",NA,NA,NA,"UNITED STATES Washington Ellensburg","A - General Economics and Teaching
D - Microeconomics
00 - Default: Any Field","2018-12-05",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461736","",NA,NA,NA,NA,NA,"2018-12-05",TRUE,TRUE,TRUE,TRUE
"19",22,76,"2018-02",111461751,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Randolph College",NA,"Economics and Business","Microeconomics, Business, Marketing

","Assistant Professor of Economics and Business (Tenure Track)","The Department of Economics and Business at Randolph College (http://www.randolphcollege.edu) invites applications for a tenure-track position at the assistant professor level. Preference will be given to those who demonstrate quality teaching and an appreciation for the liberal arts, and who have a doctorate in economics or business administration completed by September 1, 2019.  The college teaching load is 3 courses per semester. Date of employment is July 1, 2019; report date is in mid-August.

We seek a colleague with competencies to teach in both economics (microeconomics) and business administration (marketing).  Specific needs include introductory and intermediate microeconomics and marketing, as well as both business administration and economics electives and support of the senior programs in both majors. 

Located in the shadow of the Blue Ridge Mountains in Lynchburg, Virginia, Randolph College, founded in 1891 as Randolph-Macon Woman<U+2019>s College, is a traditional small liberal arts college with a longstanding reputation for excellence in teaching and an appreciation for and commitment to diversity.  

To apply, please send the following materials to econbussearch@randolphcollege.edu by December 5, 2018: (1) a letter of interest in Randolph College, (2) CV, (3) teaching evaluations, (4) a philosophy of teaching statement, (5) graduate transcript, and  (6) three letters of recommendation (one of which must address teaching competence). The cover letter should indicate the range of elective courses you would be willing to teach.  Candidates chosen to be interviewed will be contacted by phone. Randolph is an EOE M/F/D/V employer. 


",NA,NA,NA,"UNITED STATES Virginia Lynchburg","A - General Economics and Teaching
D - Microeconomics
M - Business Administration and Business Economics; Marketing; Accounting; Personnel Economics","2018-12-05",TRUE,"UNITED STATES","USA","December 5, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461751","econbussearch@randolphcollege.edu","December 5",5,12,"2018-12-5","2018-12-05","2018-12-05",TRUE,TRUE,TRUE,TRUE
"20",24,54,"2018-02",111461735,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Missouri Western State University",NA,"Human Resources",NA,"Assistant Professor - Economics","Assistant Professor - Economics <U+2013> (tenure-track, two positions) - The Department of Economics, Political Science, and Sociology at Missouri Western State University invites applications for two tenure-track positions in Economics at the Assistant Professor rank beginning August 2019. The successful candidate should possess a strong commitment to undergraduate teaching and preferably a demonstrated record of teaching excellence. Appointees are additionally expected to maintain an active research agenda leading to peer-reviewed publications, and to participate in a range of service activities. We are particularly interested in candidates with experience in building an internship program and with experience in the assessment of program level student learning outcomes. Prior experience with or interest in online teaching and the recruitment and retention of students into the program is preferred. While fields of specialization are open, the standard teaching load is twelve hours per semester. Required: Ph.D. in Economics. Candidates who are ABD will be considered. Employment is contingent upon proof of the legal right to work in the U.S. An appointment is not final until all documents are provided. Qualified candidates must submit a letter of interest, curriculum vitae, unofficial transcripts, one recent paper, one-page statement of teaching philosophy, evidence of teaching effectiveness, and contact information for three references sent electronically to: recruitment@missouriwestern.edu. Review of applications begins immediately and continues until positions are filled. Please submit all application materials by December 7, 2018. EOE

",NA,NA,NA,"UNITED STATES Missouri Saint Joseph","A - General Economics and Teaching","2018-12-07",TRUE,"UNITED STATES","USA","December 7, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461735","recruitment@missouriwestern.edu","December 7",7,12,"2018-12-7","2018-12-07","2018-12-07",TRUE,TRUE,TRUE,TRUE
"21",26,74,"2018-02",111461838,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","QUT","QUT Business School","School of Economics and Finance","Economics
Finance
Industrial Organization
Banking
Asset Pricing
Corporate Finance","Assistant Professor in Economics and Finance","The School of Economics and Finance at QUT invites expressions of interest in relation to one or more (tenure-track) positions as Assistant Professor (Lecturer/Senior Lecturer) in Economics or in Finance. Within Economics, priority will be given to applicants that work within the Industrial Organization (IO) field. Within Finance, priority will be given to applicants that work within the Banking/Asset Pricing/Corporate Finance fields.  

QUT School of Economics and Finance will interview potential candidates for the position at the ASSA Annual Meeting in Atlanta, GA, USA, on January 4-6, 2019 and at QUT, whatever is best applicable for the applicant. Based on the interviews, the School will invite a number of candidates to visit QUT for job talks. An assessment committee will evaluate the applicants after which preferred candidates will receive offers of employment.

For further information and to apply, please visit www.qut.edu.au/jobs for reference number 18949.","$AUD114,314 to $AUD131,828",NA,NA,"AUSTRALIA Queensland Brisbane","00 - Default: Any Field","2018-12-09",FALSE,"AUSTRALIA","AUS","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461838","",NA,NA,NA,NA,NA,"2018-12-09",TRUE,TRUE,TRUE,TRUE
"22",27,86,"2018-02",111461904,"Full-Time Nonacademic","StataCorp LP",NA,NA,"Econometrics
Stata
Statistical software
Communication","Senior Econometrician, Educational Services","StataCorp is seeking an individual with a passion for communication, in particular, communication about Stata and about econometrics.

In this position, you will train and interact with academic and professional economists and with other social scientists.  You will develop and give talks that introduce specific features of Stata.  Because Stata offers a diverse set of features, talks may cover data management, graphics, time series, panel data, treatment effects, dynamic stochastic general equilibrium models, and more.  The qualified applicant need not be an expert in all of these areas but must have a solid knowledge of econometrics and be excited to learn more about both Stata and advanced econometrics applications.

In addition to giving talks, this position may involve other methods of communication such as writing blog posts, interacting with Stata users on social media, and presenting webinars.

Requirements:

  - Experience using Stata
  - Solid knowledge of econometrics
  - Passion for communication and teaching
  - Travel approximately 15 weeks per year
  - PhD in econometrics0 or economics or a master's degree

This position is based in College Station, TX.",NA,NA,NA,"UNITED STATES Texas College Station","C - Mathematical and Quantitative Methods","2018-12-10",TRUE,"UNITED STATES","USA","","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461904","",NA,NA,NA,NA,NA,"2018-12-10",TRUE,TRUE,TRUE,TRUE
"23",28,116,"2018-02",111461875,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","University of Chicago Harris School of Public Policy",NA,NA,NA,"Full-Time Lecturer","The Harris School of Public Policy invites applications for a full-time lecturer to expand its offerings in economic policy, corporate and public finance, and international capital markets. The position will be a two-year, renewable appointment. The lecturer will teach 4-6 courses per academic year and have non-classroom responsibilities. 

The position will be part of the Service Employees International Union. 

Applicants must apply to the University of Chicago's Academic Career Opportunities website: https://tinyurl.com/ybd9uaxz. Applicants are required to upload the following materials: 1) resume; 2) teaching statement; 3) contact information for 3 references. Qualified candidates will hold either a Ph.D. or a Master's degree and have relevant field experience, as well as at least one year of teaching experience. Review of applications will begin on December 10, 2018 and continue until the position is filled. Anticipated start date will be January 7, 2019.  

The University of Chicago is an Affirmative Action/Equal Opportunity/Disabled/Veterans Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national or ethnic origin, age, status as an individual with a disability, protected veteran status, genetic information, or other protected classes under the law. For additional information please see the University's Notice of Nondiscrimination at http://www.uchicago.edu/about/non_discrimination_statement/. Job seekers in need of a reasonable accommodation to complete the application process should call 773-702-0287 or email ACOppAdministrator@uchicago.edu with their request.  
","Competitive",NA,NA,"UNITED STATES Illinois Chicago","G - Financial Economics","2019-01-31",TRUE,"UNITED STATES","USA","December 10, 2018","https://www.aeaweb.org/joe/listing.php?JOE_ID=2018-02_111461875","dministrator@uchicago.edu","December 10",10,12,"2018-12-10","2018-12-10","2018-12-10",TRUE,TRUE,TRUE,TRUE
