"","joe_issue_ID","jp_id","jp_section","jp_institution","jp_division","jp_department","jp_keywords","jp_title","jp_full_text","jp_salary_range","jp_agency_insertion_num","jp_new","locations","JEL_Classifications","Application_deadline"
"11","2018-02",111461847,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Carleton College","Dean of the College","Interdisciplinary Studies","media
AI
technology","Full, Associate or Advanced Assistant Professor in Humanities and Technology","Carleton College seeks to hire a Full, Associate or advanced Assistant Professor whose work focuses on the humanistic dimensions and implications of new and emerging technologies. We are looking for a candidate who is deeply grounded in the humanities and able to engage with scholars and students in STEM fields, computer science, and the social sciences. Topics of focus may include, but are not limited to, social media, privacy and surveillance, information and disinformation, artificial intelligence, autonomous machines, trans- or posthumanism, changing conceptions of human nature, the rise of automated and digital labor, and how diverse histories, religions, and cultures might inform our understanding of innovative technologies.

The successful applicant will offer five courses of their own design across all levels over three terms annually and will be an excellent teacher of undergraduates who exhibits a genuine commitment to the liberal arts. They will have a demonstrated track record of teaching and scholarship that engages with the ethical, socio-economic, political, or religious impact or potential of emerging technologies. We are looking for someone eager to play a leading role in advancing conversations and collaboration across disciplines at a liberal arts college.

We are particularly interested in candidates committed to teaching a diverse student body. Carleton is committed to developing its faculty to better reflect the diversity of our student body and American society.  Women and members of minority groups are strongly encouraged to apply. Carleton College does not discriminate on the basis of race, color, creed, ethnicity, religion, sex, national origin, marital status, veteran status, actual or perceived sexual orientation, gender identity and expression, status with regard to public assistance, disability, or age in providing employment or access to its educational facilities and activities.

Review of applications will begin December 8. 

To apply, please visit the Carleton College website at jobs.carleton.edu. Materials required:

- Cover letter which addresses scholarly agenda and teaching philosophy
- CV
- An article-length piece of scholarly writing 
- A one-page (single-spaced) statement explaining the candidate<U+2019>s vision for reaching beyond disciplinary boundaries to engage colleagues and students.
- A sample syllabus

The committee will be in touch with candidates for further materials (including letters) if needed. We will conduct preliminary interviews via video-conference in early January. 
",NA,NA,NA,"UNITED STATES Minnesota Northfield","00 - Default: Any Field",NA
"12","2018-02",111461734,"Full-Time Nonacademic","Carleton College","Dean of the College","Quantiative Resource Center","Quantitative","Director of the Quantitative Resource Center","Carleton College seeks a Director for its new Quantitative Resource Center. This is a full-time position with administrative responsibilities; the Director will also hold a non-tenure track faculty appointment with a two-course teaching load. The Director will be charged with supporting quantitative skills and reasoning (QS/QR) across the curriculum, including faculty and staff professional development, and coordinating support for the development of students<U+2019> applied quantitative skills. Key responsibilities include leadership in faculty development, organization of a drop-in student support center, and oversight of the College<U+2019>s quantitative reasoning requirement. The director will have the opportunity to generate new curricular directions as well as to work with ongoing campus initiatives. For further information and to apply, go to jobs.carleton.edu.",NA,NA,NA,"UNITED STATES Minnesota Northfield","C - Mathematical and Quantitative Methods
00 - Default: Any Field",NA
"13","2018-02",111461862,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Carnegie Mellon University","Tepper School of Business",NA,"Assistant or Associate Professor level in Economics","Economics Faculty Tenure-Track Position","Tenure-track faculty opening at the Assistant or Associate Professor level in Economics, commencing September 1, 2019 at Carnegie Mellon University, Tepper School of Business (www.tepper.cmu.edu). Applicants at the Assistant level should have completed or be nearing completion of a Ph.D. degree in Economics and should have potential for excellence in research and teaching in economics. Applicants at the Associate level should have a Ph.D. degree in Economics and an outstanding record of excellence in research and teaching in economics. Candidates from all fields of economics will be given consideration. Teaching assignments encompass undergraduate, MBA, and Ph.D. programs. Interested individuals must submit a cover letter, current curriculum vita, evidence of research (such as publications, working papers, or dissertation proposal), and three recommendation letters via Interfolio (https://apply.interfolio.com/57683). 
 
If you have any questions, please contact the Administrative Coordinator, Rosanne Christy, at ecogroup@andrew.cmu.edu or 412-268-1320.

In order to ensure full consideration, completed applications must be received by November 30, 2018.

Carnegie Mellon University considers applicants for employment without regard to, and does not discriminate on the basis of, gender, race, protected veteran status, disability, or any other legally protected status.
",NA,NA,NA,"UNITED STATES Pennsylvania Pittsburgh, PA","00 - Default: Any Field","2018-11-30 00:00:00"
"14","2018-02",111461781,"Full-Time Nonacademic","Center for Global Development",NA,NA,"Economics
Public Policy
Development
","Post-Doctoral Research Fellowship","The Center for Global Development (CGD) is now accepting applications for its Post-Doctoral Research Fellowship program. The Post-Doctoral Research Fellowship is a one year term appointment running from mid-2019 to mid-2020, with the precise dates flexible. The position is intended for new graduates or very recent graduates of PhD programs in the social sciences. CGD is an independent, non-partisan, Washington, DC think tank dedicated to reducing global poverty and inequality through policy-oriented research and active engagement on development issues with the policy community and the public. 

CGD studies the policies of the US and other industrialized countries that affect development prospects in poor countries. The Center aims to provide young scholars an opportunity to apply their research skills in an active policy environment, collaborating with a world-renowned research staff of economists and political scientists and taking advantage of the research support of CGD research assistants. Staff work with policymakers seeking rigorous and independent advice on development-related issues. Two Nobel Laureates currently serve on our Board and we have extensive links to top development researchers all over the world. Our previous postdocs have subsequently gone on to tenure track appointments at Stanford, U.N.C. Chapel Hill, Yale, Tufts, N.Y.U., U.C. San Diego, the University of Maryland, Georgetown University, University of Pittsburgh, and U.C. Davis. For more information about our former postdocs, please visit http://www.cgdev.org/page/postdoc.

To Apply: https://centerforglobaldevelopment.applytojob.com/apply/lmwREj7jDn/PostDoctoral-Research-Fellowship

All applications must be submitted using the link above.

Interested applicants should submit a CV, job market paper, and cover letter. Applications that do not include all three items will not be considered. Your cover letter should describe in some detail the research you would pursue during a year at CGD, and signal your willingness to move to Washington for one year (an important selection criterion). Preference will be given to candidates whose research interests align with CGD<U+2019>s<U+2014>which is to say that they should bear some connection, broadly interpreted, to the effect of high-income countries<U+2019> public or private sectors on low-income countries.

We also strongly encourage you to submit a letter of recommendation from your adviser(s), which will do much to support your application, but this is not required. After submitting your application online, candidates will receive an email with a link to submit recommendation letters. This link can be shared directly with your adviser, if you choose.

CGD is an Equal Opportunity Employer. All persons regardless of race, color, creed, national origin, ancestry, sex, marital status, disability, religious or political affiliation, age or sexual orientation shall have equal access to positions, limited only by their ability to do the job. Finalist will be subject to a background verification as a condition of a job offer. 

Application deadline: Friday, December 7, 2018","75000",NA,NA,"UNITED STATES District of Columbia Washington","Y - Miscellaneous Categories","2018-12-07 00:00:00"
"15","2018-02",111461565,"Full-Time Nonacademic","Central Bank of Chile","Monetary Policy Division","Economic Research Department","Research Department","Research Economist/ Senior Economist","The Economic Research Department at the Central Bank of Chile is seeking to fill one position for a Research Economist/Senior Economist depending on experience. Preferred areas of expertise include <U+2014>but are not limited to<U+2014> monetary economics, banking, macroeconometrics, international economics, and macroeconomics of labor markets. 

The job<U+2019>s main responsibility is to engage in academic research for publication in academic journals. Other duties involve participating in applied-research projects conducted by the Bank, briefing the Board in topics of his/her expertise, and collaborating in the organization of international conferences and workshops. Excellent research skills are vital, as are good writing and speaking skills. Proficiency in Spanish is desirable but not required. Candidates must have a PhD in economics or finance or reasonably expect to complete all requirements for the degree by September 2019. Experienced applicants must have a record of publications in renowned academic journals. 

The Economic Research Department offers an outstanding research environment and competitive salary and benefits. The Department is composed by seven research economists/senior economists and six research assistants. Funding for traveling and a large flow of visitors ensure strong international exposure. The Bank currently employs more than 40 PhD graduates in its different departments.",NA,NA,NA,"CHILE Santiago","E - Macroeconomics and Monetary Economics
F3 - International Finance
F4 - Macroeconomic Aspects of International Trade and Finance
G2 - Financial Institutions and Services","2018-12-15 00:00:00"
"16","2018-02",111461771,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Central University of Finance and Economics","School of Insurance","Insurance / Actuarial Science / Social Security","Insurance/Insurance Economics/Risk/Risk Management/Actuarial Science/Information Economics/Health / Statistics-Big Data,Data Mining/Social Security/Financial Risk/Machanic Design","Assistant, Associate, and Full Professor","Located in Beijing, the capital of China, and established in 1949, Central University of Finance and Economics(CUFE), is one of the leading comprehensive universities covering extensive disciplines in law, arts, sciences and engineering, and it is also distinguished in economics and management. It is one of the universities to which the Chinese government has attached Double First Class Plan.

Candidates are required to have a Ph.D. by September 2019 and show outstanding research and teaching ability. Candidates for senior ranks should have a proven research record. Salary are competitive and commensurate with qualifications and experience. 
Interested and qualified applicants should send a letter of application, a curriculum vitae, three letters of reference, and representative papers or publications via email to designated mailboxes listed below. zhouh@cufe.edu.cn

1. G22 Insurance; Insurance Companies; Actuarial Studies
2. G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure;
3. C8 - Data Collection and Data Estimation Methodology; Computer Programs
4. I1 - Health (I11 - Analysis of Health Care Markets/I18 - Government Policy; Regulation; Public Health)
5. D81 Criteria for Decision-Making under Risk and Uncertainty
6. D82 Asymmetric and Private Information; Mechanism Design
7. H55 - Social Security and Public Pensions",NA,NA,NA,"CHINA Beijing","G - Financial Economics
D - Microeconomics
C - Mathematical and Quantitative Methods
H5 - National Government Expenditures and Related Policies
I1 - Health",NA
"17","2018-02",111461803,"International:Full-Time Academic (Permanent, Tenure Track or Tenured)","Central University of Finance and Economics","The School of Public Finance and Taxation","Public Finance, Assets Appraisal, and Taxation","The School of Public Finance and Taxation at the Central University of Finance and Economics invites applications for positions at assistant professor level in all fields of public finance, assets appraisal, and taxation.","Assistant Professor","The School of Public Finance and Taxation at the Central University of Finance and Economics invites applications for positions at assistant professor level in all fields of public finance, assets appraisal, and taxation.

Applicants are expected to engage in quality research and teaching. Teaching will be at the undergraduate, M.A. and Ph.D. levels in Chinese or English. The position requires a Ph.D. (or expected completion in 2019) in economics, finance, or accounting. Candidates who have a strong interest and potential in research are particularly encouraged to apply. 

Interested and qualified applicants should send application letter, the curriculum vitae, samples of scholarly work or publications, and two recommendation letters to the following email address: cufe2019@163.com. Applications should be submitted using the above email addresses by December 25, 2018. 

Candidate interviews will be conducted in Atlanta at the 2019 AEA Conference. For more information, please enquire via the emails above.

",NA,NA,NA,"CHINA Beijing","H - Public Economics
H1 - Structure and Scope of Government
H2 - Taxation, Subsidies, and Revenue
H5 - National Government Expenditures and Related Policies
H6 - National Budget, Deficit, and Debt
H7 - State and Local Government; Intergovernmental Relations
R3 - Real Estate Markets, Spatial Production Analysis, and Firm Location
G - Financial Economics
G3 - Corporate Finance and Governance
M4 - Accounting and Auditing",NA
"18","2018-02",111461736,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Central Washington University","College of Business","Economics","Applied Microeconomics","Assistant Professor","The Department of Economics within the College of Business at Central Washington University seeks applicants for a <U+201C>pending<U+201D> tenure-track, assistant professor position beginning September 2019.  The department has 6 full-time faculty members and offers an attractive teaching load with small classes, a relaxed teaching environment, and research support. The College of Business has a strong teaching orientation and requires a commitment to students through teaching and advising. The Central Washington University campus is located in Ellensburg, WA, a small community 110 miles from Seattle.

In addition to teaching courses in Principles of Microeconomics/Macroeconomics, the candidate will teach courses in Econometrics, Intermediate Microeconomics, and Labor Economics.  Depending on the needs of our department, the candidate will also teach courses such as Public Finance, Intermediate Macroeconomic Theory, and quantitative methods courses. 

Members of the faculty are expected to produce published research, advise students, and provide service to the university. The candidate should have a Ph.D. in Economics from an AACSB accredited institution, although candidates with ABDs near completion will be considered.",NA,NA,NA,"UNITED STATES Washington Ellensburg","A - General Economics and Teaching
D - Microeconomics
00 - Default: Any Field","2018-12-05 00:00:00"
"19","2018-02",111461810,"Full-Time Nonacademic","Competition Dynamics, Inc.","Litigation Support and General Research",NA,"Industrial Organization
Technological Change
International Trade
Antitrust
Intellectual Property
Expert Reports
Data Analysis","Consulting Economist","The Opportunity:
Competition Dynamics (CD) is looking to hire an exceptionally talented PhD to join its consulting and expert testimony practice in a key role, which, for qualified individuals, could lead to an eventual appointment as an expert witness. 
In this position you will work side by side with CD<U+2019>s founder and expert, Dr. Jonathan Putnam, and have the opportunity to not only influence the outcome of major cases, but also learn the role of expert witness. Candidates who can demonstrate intellectually rigorous research and analysis in the areas of industrial organization, technological change, or international trade will find this a unique opportunity to learn on the job from one of the country<U+2019>s leading experts.  Also, prior research in the economics of intellectual property or in innovation theory and economics, would be beneficial. In exceptional circumstances, strong candidates with a focus on other empirical research areas will also be considered.
You will need to bring sophisticated and creative thought to CD<U+2019>s research and analysis in its preparation of expert testimony and reports for litigation. You will assist the project managers in their case preparation and on occasion take on the role of project manager.
You will also have the opportunity to bring your own research agenda to CD as it seeks to develop more reliable and more comprehensive solutions to global high-technology conflicts. 

About Competition Dynamics:
Competition Dynamics is an owner-operated economic consulting boutique devoted exclusively to economic research and testimony at the intersection of antitrust, intellectual property, and international trade. Intellectual Asset Management magazine recently noted that Competition Dynamics<U+2019> <U+201C>analysis has a certain rigor that is hard to find elsewhere<U+201D>.
CD was founded in 2012 by Jonathan Putnam, an expert with over 30 years of experience with the economics of intellectual property, R&D, productivity growth, industrial organization and international trade. Dr. Putnam has been retained in more than 100 consulting engagements and has testified more than 20 times in U.S. state and federal courts, before the U.S. Federal and International Trade Commissions, and in U.S. and international arbitrations, including very large (in excess of $1 billion) and sophisticated cases. 

Duties and Responsibilities:
As the Consulting Economist you will 
1.	Create and review the content of the expert reports for intellectual rigor, thoroughness of analysis and creative problem solving.
2.	Assist in evaluating client cases, formulating the damage theories and identifying the best approaches to each case.
3.	Manage projects and assist other project managers in the production of expert witness reports and the overall preparation of expert witness testimony. 

Required Qualifications And Attributes:
1.	You have a PhD in economics from a top university and have earned the reputation as an innovative thinker who is able to create comprehensive solutions to complex problems.
2.	You have demonstrated project management and report writing skills, enabling you to concisely summarize the facts of a legal case and generate professional-quality reports on tight deadlines.
3.	You are strong at data handling and analysis, and are proficient in SAS, Stata, or MATLAB.
4.	Your English communication skills are excellent in both verbal and written form, and you are able to articulate complex economic concepts and explain these in a way understandable to the general public.
5.	You are a proactive self-starter, able to manage multiple projects and priorities.
6.	You thrive in a challenging work environment and perform well in high stress situations.
7.	You are able to teach and mentor junior staff.
8.	You have the availability to work long hours, evenings and weekends as necessary, and to travel for client meetings on short notice.
","$150,000 to $185,000",NA,NA,"UNITED STATES Massachusetts Salem","00 - Default: Any Field","2019-01-31 00:00:00"
"20","2018-02",111461816,"US: Full-Time Academic (Permanent, Tenure Track or Tenured)","Cornell University","Arts and Sciences","Economics","Inequality","Assistant Professor of Economics","The Center for the Study of Inequality (CSI) at Cornell, in collaboration with the Departments of Economics, Government, and Sociology, welcomes applications for two full-time, tenure track positions at the rank of assistant professor. Positions will begin July 1, 2019. Successful candidates will be appointed in one of the three disciplinary departments, which will serve as their tenure home, but also participate in and contribute to the rich intellectual life and vibrant multidisciplinary community of inequality scholars affiliated with CSI. We seek scholars who have demonstrated excellence in research and teaching. Candidates in Government will be considered from any subfield of political science, with a thematic focus on class, racial, ethnic, or international inequalities, or other inequalities in democratic citizenship and representation. Candidates in Sociology may focus on any area of inequality, broadly defined, and use any method in their work; we especially encourage applications from scholars who combine inequality with a cognate subfield (e.g., computational sociology, political sociology, race and ethnicity, theory). Candidates in Economics may focus on any area of inequality. All candidates are required to have earned a PhD by July 1, 2019.

Interested candidates should submit a letter of application, curriculum vitae, up to three writing samples, three letters of recommendation, and teaching evaluations and materials if they are available. Candidates in economics can submit academic references instead of letters of recommendation if letters are not available. We will begin to review applications starting October 21st and continue until the search is complete. We embrace diversity and seek candidates who will create a climate that attracts students and faculty of all races, nationalities and genders. We strongly encourage women and underrepresented minorities to apply. Cornell University is a recognized EEO/AA employer and educator, valuing AA/EEO, Protected Veterans, and Individuals with Disabilities.

Diversity and Inclusion are a part of Cornell University<U+2019>s heritage. The College of Arts and Sciences at Cornell embrace diversity and seek candidates who will create a climate that attracts students and faculty of all races, nationalities, and genders. We strongly encourage women and underrepresented minorities to apply. Cornell University is a recognized EEO/AA employer and educator, valuing AA/EEO, Protected Veterans, and Individuals with Disabilities.",NA,NA,NA,"UNITED STATES New York Ithaca","J - Labor and Demographic Economics
H - Public Economics
I - Health, Education, and Welfare
R - Urban, Rural, Regional, Real Estate, and Transportation Economics
O - Economic Development, Innovation, Technological Change, and Growth","2018-12-01 00:00:00"
